Kratzer Angelika video me messaged ? Has	[IN:GET_MESSAGE [SL:CONTACT Kratzer Angelika SL:CONTACT] [SL:TYPE_CONTENT video SL:TYPE_CONTENT] [SL:RECIPIENT me SL:RECIPIENT] IN:GET_MESSAGE]
Maricopa County weather for this week forecast	[IN:GET_WEATHER [SL:LOCATION Maricopa County SL:LOCATION] [SL:DATE_TIME for this week SL:DATE_TIME] IN:GET_WEATHER]
When next my alarm start will	[IN:GET_ALARM [SL:ORDINAL next SL:ORDINAL] IN:GET_ALARM]
Matthew Helen and that are you free text	[IN:SEND_MESSAGE [SL:RECIPIENT Matthew SL:RECIPIENT] [SL:RECIPIENT Helen SL:RECIPIENT] [SL:CONTENT_EXACT are you free SL:CONTENT_EXACT] IN:SEND_MESSAGE]
what ingredients is left do have	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ingredients SL:RECIPES_ATTRIBUTE] IN:GET_INFO_RECIPES]
I am no longer available	[IN:SET_UNAVAILABLE IN:SET_UNAVAILABLE]
my about my dentist appointment reminder Cancel	[IN:DELETE_REMINDER [SL:PERSON_REMINDED my SL:PERSON_REMINDED] [SL:TODO my dentist appointment SL:TODO] IN:DELETE_REMINDER]
I a news update like . would	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE news SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Health newreport please Read	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY Health SL:NEWS_CATEGORY] [SL:NEWS_TYPE newreport SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
alarm Set	[IN:CREATE_ALARM IN:CREATE_ALARM]
an alarm off go tomorrow morning make	[IN:CREATE_ALARM [SL:DATE_TIME tomorrow morning SL:DATE_TIME] IN:CREATE_ALARM]
Friday on I What reminders have ? do	[IN:GET_REMINDER [SL:DATE_TIME Friday on SL:DATE_TIME] [SL:PERSON_REMINDED I SL:PERSON_REMINDED] IN:GET_REMINDER]
me by 8th September 7 pm at the report finish to . Remind	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:DATE_TIME by 8th September 7 pm at SL:DATE_TIME] [SL:TODO the report finish SL:TODO] IN:CREATE_REMINDER]
I for easy banana bread a recipe need	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE easy SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH banana bread SL:RECIPES_DISH] IN:GET_RECIPES]
Who does Trump to be allies consider	[IN:QUESTION_NEWS [SL:NEWS_TOPIC Trump to be allies consider SL:NEWS_TOPIC] IN:QUESTION_NEWS]
me video Atlas from messages show	[IN:GET_MESSAGE [SL:TYPE_CONTENT video SL:TYPE_CONTENT] [SL:SENDER Atlas SL:SENDER] IN:GET_MESSAGE]
me tonight Seattle in happening some events Tell	[IN:GET_EVENT [SL:DATE_TIME tonight SL:DATE_TIME] [SL:LOCATION Seattle SL:LOCATION] IN:GET_EVENT]
Adele by music Find	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Adele SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE music SL:MUSIC_TYPE] IN:PLAY_MUSIC]
I to AC / DC listen to please want	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME AC / DC SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
What time yesterday I Mum call ? did	[IN:GET_CALL_TIME [SL:DATE_TIME yesterday SL:DATE_TIME] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Mum SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
for Monday 7 pm a regular alarm start Lets .	[IN:CREATE_ALARM [SL:DATE_TIME for Monday 7 pm SL:DATE_TIME] IN:CREATE_ALARM]
on Whatsapp video chat granddaughter call	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION granddaughter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
me tonight 5 at mom call to . remind	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:DATE_TIME tonight 5 at SL:DATE_TIME] [SL:TODO [IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mom SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:CREATE_REMINDER]
's the rainfall today how me Tell ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE rainfall SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME today SL:DATE_TIME] IN:GET_WEATHER]
End grandson with call	[IN:END_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION grandson SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:END_CALL]
me Seattle in tennis matches this month Find	[IN:GET_EVENT [SL:LOCATION Seattle SL:LOCATION] [SL:CATEGORY_EVENT tennis matches SL:CATEGORY_EVENT] [SL:DATE_TIME this month SL:DATE_TIME] IN:GET_EVENT]
i a maritime forecast get can	[IN:GET_WEATHER IN:GET_WEATHER]
please a party playlist me for create	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_PLAYLIST_TITLE party SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE playlist SL:MUSIC_TYPE] IN:CREATE_PLAYLIST_MUSIC]
to put out the trash Tuesday night me Remind .	[IN:CREATE_REMINDER [SL:TODO put out the trash SL:TODO] [SL:DATE_TIME Tuesday night SL:DATE_TIME] [SL:PERSON_REMINDED me SL:PERSON_REMINDED] IN:CREATE_REMINDER]
a new timer alert Create	[IN:CREATE_TIMER [SL:METHOD_TIMER timer SL:METHOD_TIMER] IN:CREATE_TIMER]
i you a video Amelia for message recording start to want	[IN:SEND_MESSAGE [SL:TYPE_CONTENT video SL:TYPE_CONTENT] [SL:RECIPIENT Amelia SL:RECIPIENT] IN:SEND_MESSAGE]
there in Panama , FL City forecasted rain next week ? Is	[IN:GET_WEATHER [SL:LOCATION Panama , FL City SL:LOCATION] [SL:WEATHER_ATTRIBUTE rain SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME next week SL:DATE_TIME] IN:GET_WEATHER]
a video Scott Tomas and with chat Start	[IN:CREATE_CALL [SL:CONTACT Scott SL:CONTACT] [SL:CONTACT Tomas SL:CONTACT] IN:CREATE_CALL]
there any sports games May in Are	[IN:GET_EVENT [SL:CATEGORY_EVENT sports games SL:CATEGORY_EVENT] [SL:DATE_TIME May in SL:DATE_TIME] IN:GET_EVENT]
cat food buying for a reminder Set . up	[IN:CREATE_REMINDER [SL:TODO cat food buying SL:TODO] IN:CREATE_REMINDER]
Australia 's , . thanks forecast	[IN:GET_WEATHER [SL:LOCATION Australia SL:LOCATION] IN:GET_WEATHER]
my parents on Hang up	[IN:END_CALL [SL:CONTACT [IN:GET_CONTACT [SL:CONTACT_RELATED my SL:CONTACT_RELATED] [SL:TYPE_RELATION parents SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:END_CALL]
I would you an alarm set to like	[IN:CREATE_ALARM IN:CREATE_ALARM]
Frank from calls answer . Don't	[IN:IGNORE_CALL [SL:CONTACT Frank SL:CONTACT] IN:IGNORE_CALL]
Where Jackson Michael die ? did	[IN:GET_LIFE_EVENT [SL:CONTACT Jackson Michael SL:CONTACT] [SL:LIFE_EVENT die SL:LIFE_EVENT] IN:GET_LIFE_EVENT]
Please ' ' Play that Song Train by Pandora on play	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Play that Song SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Train SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
