Al - Zaman : American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border .	@ptr0 root @ptr1 punct @ptr1 flat @ptr1 punct @ptr6 amod @ptr7 nsubj @ptr1 parataxis @ptr7 obj @ptr8 flat @ptr8 flat @ptr8 punct @ptr8 flat @ptr8 punct @ptr15 det @ptr8 appos @ptr18 case @ptr18 det @ptr15 nmod @ptr21 case @ptr21 det @ptr18 nmod @ptr23 case @ptr21 nmod @ptr21 punct @ptr28 case @ptr28 det @ptr28 amod @ptr21 nmod @ptr1 punct
[ This killing of a respected cleric will be causing us trouble for years to come . ]	@ptr10 punct @ptr3 det @ptr10 nsubj @ptr7 case @ptr7 det @ptr7 amod @ptr3 nmod @ptr10 aux @ptr10 aux @ptr0 root @ptr10 iobj @ptr10 obj @ptr14 case @ptr10 obl @ptr16 mark @ptr14 acl @ptr10 punct @ptr10 punct
DPA : Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad .	@ptr0 root @ptr1 punct @ptr4 amod @ptr5 nsubj @ptr1 parataxis @ptr9 mark @ptr9 nsubj @ptr9 aux @ptr5 ccomp @ptr9 compound @ptr13 nummod @ptr13 amod @ptr9 obj @ptr13 acl @ptr16 case @ptr14 obl @ptr1 punct
Two of them were being run by 2 officials of the Ministry of the Interior !	@ptr6 nsubj @ptr3 case @ptr1 nmod @ptr6 aux @ptr6 aux @ptr0 root @ptr9 case @ptr9 nummod @ptr6 obl @ptr12 case @ptr12 det @ptr9 nmod @ptr15 case @ptr15 det @ptr12 nmod @ptr6 punct
The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .	@ptr2 det @ptr6 nsubj @ptr4 case @ptr2 nmod @ptr6 cop @ptr0 root @ptr10 case @ptr10 det @ptr10 compound @ptr6 obl @ptr6 punct @ptr17 advmod @ptr15 nsubj @ptr15 aux @ptr6 parataxis @ptr17 mark @ptr15 advcl @ptr22 nsubj @ptr18 flat @ptr18 flat @ptr22 advmod @ptr17 ccomp @ptr26 case @ptr26 det @ptr26 amod @ptr22 obl @ptr22 obj @ptr31 case @ptr31 det @ptr31 compound @ptr27 nmod @ptr35 advmod @ptr35 case @ptr35 det @ptr22 obl @ptr6 punct
The third was being run by the head of an investment firm .	@ptr2 det @ptr5 nsubj @ptr5 aux @ptr5 aux @ptr0 root @ptr8 case @ptr8 det @ptr5 obl @ptr12 case @ptr12 det @ptr12 compound @ptr8 nmod @ptr5 punct
You wonder if he was manipulating the market with his bombing targets .	@ptr2 nsubj @ptr0 root @ptr6 mark @ptr6 nsubj @ptr6 aux @ptr2 ccomp @ptr8 det @ptr6 obj @ptr12 case @ptr12 nmod @ptr12 compound @ptr6 obl @ptr2 punct
The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .	@ptr2 det @ptr4 nsubj @ptr4 aux @ptr0 root @ptr12 case @ptr12 det @ptr12 compound @ptr11 cc @ptr11 compound @ptr11 punct @ptr7 conj @ptr4 obl @ptr15 case @ptr15 det @ptr12 nmod @ptr4 punct
Although the announcement was probably made to show progress in identifying and breaking up terror cells , I don't do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .	@ptr6 mark @ptr3 det @ptr6 nsubj @ptr6 aux @ptr6 advmod @ptr21 advcl @ptr8 mark @ptr6 xcomp @ptr8 obj @ptr11 mark @ptr9 acl @ptr13 cc @ptr11 conj @ptr13 compound @ptr16 compound @ptr11 obj @ptr21 punct @ptr21 nsubj @ptr21 aux @ptr21 advmod @ptr0 root @ptr23 det @ptr21 obj @ptr27 mark @ptr26 det @ptr27 nsubj @ptr23 acl @ptr29 mark @ptr27 xcomp @ptr32 det @ptr32 amod @ptr29 obj @ptr34 advmod @ptr21 xcomp @ptr21 punct
It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .	@ptr2 nsubj @ptr0 root @ptr2 obj @ptr5 advmod @ptr2 advmod @ptr9 case @ptr9 det @ptr9 compound @ptr2 obl @ptr13 nsubj @ptr13 aux @ptr13 advmod @ptr9 acl @ptr17 case @ptr17 det @ptr17 amod @ptr13 obl @ptr19 case @ptr13 obl @ptr2 punct
